niveau,seance,document,audience,quantite,couleur_nb,assemblage
4e,S1-S5,Fiches élèves et supports,eleve,1 par élève,N&B lisible,agrafage par séance
3e,S1-S5,Fiches élèves et supports,eleve,1 par élève,N&B lisible,agrafage par séance
2nde,S1-S5,Fiches élèves et supports,eleve,1 par élève,N&B lisible,agrafage par séance
1ere_spe,S1-S5,Fiches élèves et supports,eleve,1 par élève,N&B lisible,agrafage par séance
