path,pages,font_count,text_len,issues
dist/pdf/2nde/nominatifs-prives/2nde_Dossier_Individuel_Ahmed_Bakir.pdf,6,3,5101,
dist/pdf/2nde/nominatifs-prives/2nde_Dossier_Individuel_Noa_Maniaci.pdf,6,3,5274,
dist/pdf/2nde/nominatifs-prives/2nde_Remediation_Ciblee_Ahmed_Bakir_ELEVE.pdf,2,2,2463,
dist/pdf/2nde/nominatifs-prives/2nde_Remediation_Ciblee_Ahmed_Bakir_PROF_Corrige.pdf,3,3,2842,
dist/pdf/2nde/nominatifs-prives/2nde_Remediation_Ciblee_Noa_Maniaci_ELEVE.pdf,2,2,2462,
dist/pdf/2nde/nominatifs-prives/2nde_Remediation_Ciblee_Noa_Maniaci_PROF_Corrige.pdf,3,3,2864,
dist/pdf/2nde/supports/2nde_S1_SUPPORTS_Manipulation.pdf,2,3,1557,
dist/pdf/2nde/supports/2nde_S2_SUPPORTS_Manipulation.pdf,3,2,1201,
dist/pdf/2nde/supports/2nde_S3_SUPPORTS_Manipulation.pdf,3,2,1183,
dist/pdf/2nde/supports/2nde_S4_SUPPORTS_Manipulation.pdf,5,3,1239,
dist/pdf/2nde/supports/2nde_S5_SUPPORTS_Manipulation.pdf,5,3,1306,
dist/pdf/3e/eleves/3e_Portfolio_Individuel.pdf,3,3,2587,
dist/pdf/3e/eleves/3e_S1_ELEVE_Activite.pdf,4,3,5088,
dist/pdf/3e/eleves/3e_S2_ELEVE_Activite.pdf,5,4,5205,
dist/pdf/3e/eleves/3e_S3_ELEVE_Activite.pdf,4,4,5161,
dist/pdf/3e/eleves/3e_S4_ELEVE_Activite.pdf,4,3,5569,
dist/pdf/3e/eleves/3e_S5_ELEVE_Activite.pdf,4,3,5079,
dist/pdf/3e/enseignants/3e_Evaluation_Finale_PROF_Corrige_Bareme.pdf,3,3,2127,
dist/pdf/3e/enseignants/3e_Guide_Formateur.pdf,15,4,25134,
dist/pdf/3e/enseignants/3e_MASTER_Documentation_Stage.pdf,108,6,109642,
dist/pdf/3e/enseignants/3e_Mini_Diagnostic_PROF_Corrige.pdf,2,2,1653,
dist/pdf/3e/enseignants/3e_S1_AIDES_Cartes.pdf,2,3,1261,
dist/pdf/3e/enseignants/3e_S1_PROF_Fiche.pdf,6,2,7076,
dist/pdf/3e/enseignants/3e_S2_AIDES_Cartes.pdf,2,3,1261,
dist/pdf/3e/enseignants/3e_S2_PROF_Fiche.pdf,6,2,6685,
dist/pdf/3e/enseignants/3e_S3_AIDES_Cartes.pdf,2,3,1265,
dist/pdf/3e/enseignants/3e_S3_PROF_Fiche.pdf,6,4,6903,
dist/pdf/3e/enseignants/3e_S4_AIDES_Cartes.pdf,2,3,1256,
dist/pdf/3e/enseignants/3e_S4_PROF_Fiche.pdf,6,3,7223,
dist/pdf/3e/enseignants/3e_S5_AIDES_Cartes.pdf,2,3,1278,
dist/pdf/3e/enseignants/3e_S5_PROF_Fiche.pdf,5,2,6170,
dist/pdf/3e/enseignants/3e_Tableau_Bord_Enseignant.pdf,7,2,3707,
dist/pdf/3e/enseignants/index.pdf,2,2,903,
dist/pdf/3e/evaluations/3e_Evaluation_Finale_ELEVE.pdf,3,3,3420,
dist/pdf/3e/evaluations/3e_Mini_Diagnostic_ELEVE.pdf,2,2,2246,
dist/pdf/3e/nominatifs-prives/3e_Dossier_Individuel_Amine_Mansouri.pdf,6,3,5309,
dist/pdf/3e/nominatifs-prives/3e_Dossier_Individuel_Fares_Laajili.pdf,5,3,4866,
dist/pdf/3e/nominatifs-prives/3e_Dossier_Individuel_Sarah_Bargaoui.pdf,6,3,5301,
dist/pdf/3e/nominatifs-prives/3e_Dossier_Individuel_Selim_Mansouri.pdf,6,3,5242,
dist/pdf/3e/nominatifs-prives/3e_Remediation_Ciblee_Amine_Mansouri_ELEVE.pdf,2,2,2034,
dist/pdf/3e/nominatifs-prives/3e_Remediation_Ciblee_Amine_Mansouri_PROF_Corrige.pdf,3,3,2412,
dist/pdf/3e/nominatifs-prives/3e_Remediation_Ciblee_Fares_Laajili_ELEVE.pdf,2,2,2017,
dist/pdf/3e/nominatifs-prives/3e_Remediation_Ciblee_Fares_Laajili_PROF_Corrige.pdf,3,3,2315,
dist/pdf/3e/nominatifs-prives/3e_Remediation_Ciblee_Sarah_Bargaoui_ELEVE.pdf,2,2,1991,
dist/pdf/3e/nominatifs-prives/3e_Remediation_Ciblee_Sarah_Bargaoui_PROF_Corrige.pdf,3,3,2293,
dist/pdf/3e/nominatifs-prives/3e_Remediation_Ciblee_Selim_Mansouri_ELEVE.pdf,2,2,1996,
dist/pdf/3e/nominatifs-prives/3e_Remediation_Ciblee_Selim_Mansouri_PROF_Corrige.pdf,3,3,2299,
dist/pdf/3e/supports/3e_S1_SUPPORTS_Manipulation.pdf,2,3,1139,
dist/pdf/3e/supports/3e_S2_SUPPORTS_Manipulation.pdf,3,2,1592,
dist/pdf/3e/supports/3e_S3_SUPPORTS_Manipulation.pdf,5,3,1361,
dist/pdf/3e/supports/3e_S4_SUPPORTS_Manipulation.pdf,5,3,1477,
dist/pdf/3e/supports/3e_S5_SUPPORTS_Manipulation.pdf,2,4,1356,
dist/pdf/4e/eleves/4e_Portfolio_Individuel.pdf,3,3,2526,
dist/pdf/4e/eleves/4e_S1_ELEVE_Activite.pdf,4,3,5238,
dist/pdf/4e/eleves/4e_S2_ELEVE_Activite.pdf,4,3,4674,
dist/pdf/4e/eleves/4e_S3_ELEVE_Activite.pdf,4,3,4382,
dist/pdf/4e/eleves/4e_S4_ELEVE_Activite.pdf,4,3,4443,
dist/pdf/4e/eleves/4e_S5_ELEVE_Activite.pdf,3,3,2901,
dist/pdf/4e/enseignants/4e_Evaluation_Finale_PROF_Corrige_Bareme.pdf,2,3,1983,
dist/pdf/4e/enseignants/4e_Guide_Formateur.pdf,13,4,20514,
dist/pdf/4e/enseignants/4e_MASTER_Documentation_Stage.pdf,95,5,92550,
dist/pdf/4e/enseignants/4e_Mini_Diagnostic_PROF_Corrige.pdf,2,2,1353,
dist/pdf/4e/enseignants/4e_S1_AIDES_Cartes.pdf,2,3,1212,
dist/pdf/4e/enseignants/4e_S1_PROF_Fiche.pdf,6,3,6695,
dist/pdf/4e/enseignants/4e_S2_AIDES_Cartes.pdf,2,3,1220,
dist/pdf/4e/enseignants/4e_S2_PROF_Fiche.pdf,6,2,6190,
